step,w_0,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33
149,0,1,0,0,7562,226,1,248,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3636,896,1,0,1,3278,1,1,1,1,3,1
150,0,1,0,0,7627,226,1,254,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3647,897,1,0,1,3299,1,1,1,1,3,1
151,0,1,0,0,7651,226,1,254,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3660,900,1,0,1,3319,1,1,1,1,3,1
152,0,1,0,0,7700,226,1,257,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3680,911,1,0,1,3347,1,1,1,1,3,1
153,0,1,0,0,7744,226,1,257,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3687,913,1,0,1,3358,1,1,1,1,3,1
154,0,1,0,0,7776,226,1,258,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3706,916,1,0,1,3364,1,1,1,1,3,1
155,0,1,0,0,7863,227,1,261,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3739,927,1,0,1,3392,1,1,1,1,3,1
156,0,1,0,0,7898,227,1,262,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3745,934,1,0,1,3420,1,1,1,1,3,1
157,0,1,0,0,7944,227,1,264,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3767,937,1,0,1,3436,1,1,1,1,3,1
158,0,1,0,0,8005,227,1,264,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3793,942,1,0,1,3452,1,1,1,1,3,1
159,0,1,0,0,8061,227,1,268,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3804,947,1,0,1,3475,1,1,1,1,3,1
160,0,1,0,0,8084,227,1,270,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3816,951,1,0,1,3492,1,1,1,1,3,1
161,0,1,0,0,8139,228,1,274,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3834,954,1,0,1,3506,1,1,1,1,3,1
162,0,1,0,0,8189,228,1,275,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3855,955,1,0,1,3522,1,1,1,1,3,1
163,0,1,0,0,8233,228,1,278,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3880,962,1,0,1,3529,1,1,1,1,3,1
164,0,1,0,0,8268,228,1,279,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3887,964,1,0,1,3543,1,1,1,1,3,1
165,0,1,0,0,8311,228,1,279,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3902,971,1,0,1,3568,1,1,1,1,3,1
166,0,1,0,0,8350,229,1,281,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3918,979,1,0,1,3586,1,1,1,1,3,1
167,0,1,0,0,8376,231,1,283,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3924,979,1,0,1,3602,1,1,1,1,3,1
168,0,1,0,0,8432,231,1,283,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3960,987,1,0,1,3619,1,1,1,1,3,1
169,0,1,0,0,8497,235,1,285,1,0,1,1,1,0,2,1,1,1,1,1,0,1,3991,994,1,0,1,3630,1,1,1,1,3,1
170,0,1,0,0,8559,235,1,285,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4013,1000,1,0,1,3652,1,1,1,1,3,1
171,0,1,0,0,8584,235,1,288,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4021,1003,1,0,1,3665,1,1,1,1,3,1
172,0,1,0,0,8648,235,1,289,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4053,1007,1,0,1,3684,1,1,1,1,3,1
173,0,1,0,0,8677,235,1,293,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4057,1009,1,0,1,3697,1,1,1,1,3,1
174,0,1,0,0,8732,236,1,299,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4087,1014,1,0,1,3723,1,1,1,1,3,1
175,0,1,0,0,8749,236,1,300,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4100,1021,1,0,1,3734,1,1,1,1,3,1
176,0,1,0,0,8818,236,1,300,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4129,1030,1,0,1,3743,1,1,1,1,3,1
177,0,1,0,0,8884,237,1,301,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4151,1035,1,0,1,3758,1,1,1,1,3,1
178,0,1,0,0,8957,237,1,302,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4188,1043,1,0,1,3797,1,1,1,1,3,1
179,0,1,0,0,9021,237,1,305,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4205,1048,1,0,1,3820,1,1,1,1,3,1
180,0,1,0,0,9066,237,1,305,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4222,1052,1,0,1,3842,1,1,1,1,3,1
181,0,1,0,0,9108,238,1,305,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4225,1052,1,0,1,3855,1,1,1,1,3,1
182,0,1,0,0,9196,240,1,306,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4251,1063,1,0,1,3880,1,1,1,1,3,1
183,0,1,0,0,9229,240,1,307,1,0,1,1,1,0,2,1,1,1,1,1,0,1,4260,1067,1,0,1,3887,1,1,1,1,3,1
